"Time (CH28, Marker)","Delta T (CH28, Marker)","Mean (CH 5, Rate)","Mean (CH 2, EDA)","Mean (CH40, OO/Zygo Integrated)","Mean (CH41, Corrugator Integrated)","Mean (CH28, Marker)"
9.5,0.5,70.83825266,0.202524638,5.92E-05,0.000341007,0.818363273
10,0.5,69.4065808,0.202097027,6.14E-05,0.000342115,0
10.5,0.5,68.41505131,0.201856419,6.88E-05,0.000340489,0
11,0.5,68.0327536,0.201393478,6.81E-05,0.000341207,0
11.5,0.5,67.91925554,0.200802618,6.61E-05,0.000344839,0
12,0.5,67.03910615,0.200332977,6.09E-05,0.0003518,3.163672655
12.5,0.5,66.81446922,0.199856025,6.17E-05,0.000354763,1.736526946
13,0.5,66.00660066,0.199273694,6.19E-05,0.000357721,0
13.5,0.5,68.3232899,0.198901513,5.88E-05,0.000351548,0
14,0.5,70.5052879,0.198446491,5.94E-05,0.000343128,0
14.5,0.5,70.57250675,0.19813766,6.33E-05,0.000341883,0
15,0.5,70.80101502,0.197681419,6.01E-05,0.000343231,0
15.5,0.5,72.02881152,0.19736467,5.81E-05,0.000341086,0
16,0.5,73.21651611,0.19718924,5.89E-05,0.000342115,0
16.5,0.5,74.25742574,0.196848734,6.05E-05,0.000339298,0
17,0.5,77.778334,0.196748227,5.92E-05,0.000338625,0
17.5,0.5,77.55952722,0.196380311,6.00E-05,0.000337855,0
18,0.5,77.22007722,0.195789451,5.97E-05,0.000339067,0
18.5,0.5,74.31672411,0.195358794,5.87E-05,0.00033795,0
19,0.5,73.3941863,0.19468022,6.00E-05,0.000336543,0
19.5,0.5,72.02881152,0.19432875,5.98E-05,0.000334803,0
20,0.5,72.93776383,0.194114944,5.90E-05,0.000336982,0
20.5,0.5,73.80073801,0.193609972,5.95E-05,0.000338456,0
21,0.5,72.29406998,0.193248756,5.75E-05,0.000339421,0
21.5,0.5,71.73416362,0.192999012,5.79E-05,0.00033727,0
22,0.5,67.41573034,0.192985002,6.24E-05,0.000340166,0
22.5,0.5,67.53052645,0.19263475,6.01E-05,0.000341159,0
23,0.5,67.79661017,0.192245514,5.94E-05,0.000341921,0
23.5,0.5,66.87742675,0.191960439,6.03E-05,0.000340385,0
24,0.5,65.86169045,0.191453031,5.96E-05,0.000340512,0
24.5,0.5,65.45273411,0.191116181,5.72E-05,0.000339973,0
25,0.5,65.2173913,0.190969989,5.94E-05,0.000339726,0
25.5,0.5,67.30957476,0.190742782,6.03E-05,0.000339489,0
26,0.5,67.58916463,0.190347455,5.90E-05,0.000339228,1.646706587
26.5,0.5,66.81514477,0.189932026,5.85E-05,0.00033956,3.253493014
27,0.5,66.5227652,0.18952817,5.98E-05,0.000339012,0
27.5,0.5,65.57377049,0.189203502,5.81E-05,0.000337753,0
28,0.5,65.91618736,0.189078021,5.87E-05,0.000341421,0
28.5,0.5,66.37168142,0.188753962,5.98E-05,0.000342773,0
29,0.5,70.90723128,0.188513963,6.42E-05,0.000342985,99999
56,0.5,74.25146765,0.62906962,5.95E-05,0.000331838,4.061876248
56.5,0.5,72.99270073,0.627253184,6.17E-05,0.000333185,0
57,0.5,75.93468441,0.625313095,5.87E-05,0.000331711,0
57.5,0.5,79.4336391,0.623133616,6.00E-05,0.000331379,0
58,0.5,83.25030358,0.620566728,5.98E-05,0.000332874,0
58.5,0.5,86.58008658,0.617987657,6.08E-05,0.000329975,99999
59.5,0.5,82.69706754,0.613477025,5.77E-05,0.000331588,0.139720559
60,0.5,78.84362681,0.611547291,5.86E-05,0.000331186,0
60.5,0.5,79.17044538,0.609492075,5.76E-05,0.000333625,0
61,0.5,79.36507937,0.607946095,5.87E-05,0.000332713,0
61.5,0.5,72.39032314,0.605599105,5.65E-05,0.000330328,0
62,0.5,71.25562644,0.603422062,5.78E-05,0.000327905,0
62.5,0.5,67.72009029,0.601410095,5.66E-05,0.000329485,0
63,0.5,67.59494428,0.598944323,5.82E-05,0.000331676,0
63.5,0.5,67.41573034,0.597066365,5.84E-05,0.000331919,0
64,0.5,72.25749783,0.595282823,6.05E-05,0.000331419,0
64.5,0.5,73.37931863,0.59335918,5.89E-05,0.000331211,0
65,0.5,71.25890736,0.591361223,5.87E-05,0.00033272,0
65.5,0.5,71.12239025,0.589324281,5.78E-05,0.000331527,0
66,0.5,70.92198582,0.587256274,5.87E-05,0.000335109,0
66.5,0.5,74.90821066,0.58507984,5.77E-05,0.00033934,0
67,0.5,75.22001177,0.582988686,5.78E-05,0.000332283,0
67.5,0.5,72.55139057,0.580950526,5.94E-05,0.000333669,0
68,0.5,71.66954839,0.578817341,5.78E-05,0.000334091,0
68.5,0.5,70.67137809,0.576718877,5.87E-05,0.000333605,0
69,0.5,73.23091811,0.574752594,5.85E-05,0.000333155,0
69.5,0.5,73.6533483,0.573136564,5.84E-05,0.000332364,0
70,0.5,73.43941248,0.57135424,5.88E-05,0.000334644,0
70.5,0.5,71.71626225,0.569703489,5.89E-05,0.000335292,0
71,0.5,69.93006993,0.568349385,5.87E-05,0.000333565,0
71.5,0.5,70.18700353,0.566548787,5.82E-05,0.000332665,0
72,0.5,70.92823882,0.564380273,5.83E-05,0.000334922,0
72.5,0.5,74.25742574,0.562537644,6.14E-05,0.000333268,0
73,0.5,72.39160727,0.560744965,6.14E-05,0.000332117,3.243512974
73.5,0.5,70.1754386,0.558884672,5.89E-05,0.000332875,1.656686627
74,0.5,68.88752168,0.557146206,5.84E-05,0.000333407,0
74.5,0.5,68.37324559,0.555264593,5.90E-05,0.000335558,0
75,0.5,70.92198582,0.553541355,5.99E-05,0.000332533,0
75.5,0.5,71.60230252,0.551847964,5.83E-05,0.000331482,0
76,0.5,72.81553398,0.550063813,5.81E-05,0.000334027,99999
175.5,0.5,70.93620513,0.569657194,5.56E-05,0.000320421,4.590818363
