"Time (CH28, Marker)","Delta T (CH28, Marker)","Mean (CH 5, Rate)","Mean (CH 2, EDA)","Mean (CH40, OO-Zygo Integrated)","Mean (CH41, Corrugator Integrated)","Mean (CH28, Marker)"
21,0.5,60.87410679,0.774918669,8.30E-05,0.000283994,0.399201597
21.5,0.5,60.54490414,0.773881315,7.56E-05,0.000283232,0
22,0.5,62.60938211,0.772728834,7.04E-05,0.000285521,0
22.5,0.5,63.22444679,0.771490466,7.16E-05,0.000285381,0
23,0.5,63.10926428,0.770147937,8.01E-05,0.00028411,0
23.5,0.5,63.09148265,0.768982665,8.10E-05,0.000283592,3.662674651
24,0.5,57.62419597,0.767733941,8.57E-05,0.000283857,1.317365269
24.5,0.5,55.19779209,0.76653273,8.33E-05,0.000283422,0
25,0.5,56.42780185,0.765243195,7.84E-05,0.000284062,0
25.5,0.5,57.2519084,0.762622095,8.14E-05,0.000283507,0
26,0.5,59.1887188,0.759721402,7.67E-05,0.000285308,0
26.5,0.5,60.42296073,0.758146792,8.76E-05,0.000284783,0
27,0.5,61.38953911,0.758130346,9.04E-05,0.00028516,0
27.5,0.5,61.8556701,0.757485883,7.89E-05,0.000283415,0
28,0.5,71.35214108,0.757193499,9.83E-05,0.00028363,0
28.5,0.5,70.52785906,0.754598591,7.54E-05,0.000283713,0
29,0.5,64.3776824,0.752970378,7.49E-05,0.000282162,0
29.5,0.5,64.10836391,0.752131601,8.15E-05,0.000283711,0
30,0.5,63.22444679,0.750653844,7.26E-05,0.000282755,0
30.5,0.5,65.60624422,0.749724306,7.11E-05,0.000283731,0
31,0.5,68.25938567,0.748758221,7.28E-05,0.000284265,0
31.5,0.5,64.19209262,0.747168992,7.64E-05,0.000284894,0
32,0.5,58.99705015,0.745498139,7.99E-05,0.000283809,0
32.5,0.5,58.88297872,0.74409226,7.91E-05,0.000282593,0
33,0.5,58.70841487,0.744382207,7.73E-05,0.000283735,0
33.5,0.5,61.335546,0.74407094,7.38E-05,0.000283358,0
34,0.5,63.82978723,0.744094696,7.40E-05,0.000281933,0
34.5,0.5,62.05331273,0.743378356,7.10E-05,0.000283778,0
35,0.5,60.48387097,0.742694908,7.17E-05,0.000281912,0
35.5,0.5,68.34800402,0.741896334,7.19E-05,0.00028186,0
36,0.5,71.56638855,0.740666494,7.38E-05,0.000285416,0
36.5,0.5,76.14213198,0.73950975,7.17E-05,0.000283103,0
37,0.5,71.87845472,0.736819208,7.34E-05,0.000285004,0
37.5,0.5,66.29834254,0.736219821,7.35E-05,0.000282571,2.235528942
38,0.5,63.46837978,0.732889689,7.50E-05,0.0002829,2.674650699
38.5,0.5,55.04587156,0.735953021,7.65E-05,0.000281874,0
39,0.5,55.05374841,0.760424951,7.72E-05,0.000283042,0
39.5,0.5,55.14705882,0.820314327,8.10E-05,0.000281041,0
40,0.5,55.15236104,0.881401869,7.80E-05,0.000284061,0
40.5,0.5,57.80346821,0.911173259,8.01E-05,0.00028211,99999
100,0.5,71.85628743,1.384141507,7.73E-05,0.000280741,3.073852295
100.5,0.5,59.1641707,1.376201455,7.88E-05,0.000284281,0
101,0.5,59.88881257,1.372172038,7.64E-05,0.000281532,0
101.5,0.5,64.58557589,1.367563335,8.08E-05,0.000282004,0
102,0.5,67.50674573,1.364818581,7.67E-05,0.000280879,0
102.5,0.5,71.09004739,1.360190995,7.56E-05,0.000282232,1.057884232
103,0.5,70.24032338,1.347977872,7.16E-05,0.000278934,3.832335329
103.5,0.5,69.93006993,1.343018309,8.46E-05,0.000282701,0
104,0.5,64.15569422,1.340279646,0.000106269,0.000281898,0
104.5,0.5,63.03723523,1.336085763,9.35E-05,0.000282409,0
105,0.5,66.51884701,1.331487416,7.74E-05,0.000282985,0
105.5,0.5,66.25920369,1.324974563,7.88E-05,0.000284484,0
106,0.5,60.60606061,1.319757945,0.000102582,0.000283365,0
106.5,0.5,60.86870985,1.314976249,8.96E-05,0.000285164,0
107,0.5,62.63048017,1.30904329,9.39E-05,0.000285009,0
107.5,0.5,63.59520274,1.303265052,7.69E-05,0.000282912,0
108,0.5,65.78947368,1.297908334,8.00E-05,0.000283959,0
108.5,0.5,65.78947368,1.291972939,9.50E-05,0.000282374,0
109,0.5,65.78947368,1.285574603,0.000100426,0.000284552,0
109.5,0.5,67.39296202,1.28242782,9.35E-05,0.000282933,0
110,0.5,69.30017516,1.277994548,8.49E-05,0.000284688,0
110.5,0.5,76.53061224,1.274023608,8.53E-05,0.000282073,0
111,0.5,74.02208833,1.269160897,8.11E-05,0.000284078,0
111.5,0.5,71.09004739,1.263735956,8.19E-05,0.000283467,0
112,0.5,69.0042845,1.259687656,7.80E-05,0.00028411,0
112.5,0.5,68.36308695,1.255221491,8.08E-05,0.000281408,0
113,0.5,72.90400972,1.250961821,8.87E-05,0.000281988,0
113.5,0.5,71.36276397,1.246896466,8.73E-05,0.000284019,0
114,0.5,66.96428571,1.242256088,8.06E-05,0.0002834,0
114.5,0.5,65.62259748,1.238060378,7.67E-05,0.000284372,0
115,0.5,63.29113924,1.233626497,8.42E-05,0.000282627,0
115.5,0.5,66.42071428,1.230407228,8.72E-05,0.000283639,0
116,0.5,68.41505131,1.227172121,9.50E-05,0.000283965,0
116.5,0.5,63.05937258,1.223499047,8.25E-05,0.00028387,99999
117.5,0.5,59.28853755,1.215369554,7.88E-05,0.00028338,0.359281437
118,0.5,59.28853755,1.211586836,7.41E-05,0.000282831,0
118.5,0.5,61.85266247,1.208351729,7.75E-05,0.000282215,0
119,0.5,63.15789474,1.20339643,7.54E-05,0.000283971,0
119.5,0.5,62.71660619,1.199231176,7.36E-05,0.000284195,0
120,0.5,63.98942739,1.194950797,7.93E-05,0.000284547,99999
185.5,0.5,73.96027857,1.205323728,7.44E-05,0.000283184,0.399201597
186,0.5,75.47169811,1.248041027,7.64E-05,0.000282082,0
186.5,0.5,64.89084511,1.392230188,7.88E-05,0.000283355,0
187,0.5,63.55932203,1.566146272,7.38E-05,0.000283169,0
187.5,0.5,57.7122591,1.669388883,7.61E-05,0.000281038,0
188,0.5,55.55555556,1.694497358,7.76E-05,0.000280992,3.602794411
188.5,0.5,61.57496328,1.663423032,7.76E-05,0.000281279,1.317365269
189,0.5,62.89308176,1.611035741,7.98E-05,0.000281338,0
189.5,0.5,58.57638639,1.563802327,7.63E-05,0.00028245,0
190,0.5,56.81818182,1.527575342,8.64E-05,0.000283811,0
190.5,0.5,57.55682311,1.499743433,7.76E-05,0.000281726,0
