"Time (CH28, Marker)","Delta T (CH28, Marker)","Mean (CH 5, Rate)","Mean (CH 2, EDA)","Mean (CH40, OO/Zygo Integrated)","Mean (CH41, Corrugator Integrated)","Mean (CH28, Marker)"
7.5,0.5,67.18924972,0.164743755,5.98E-05,0.000280645,0.329341317
8,0.5,66.33456166,0.164584162,5.97E-05,0.000280681,0
8.5,0.5,63.22444679,0.164438579,0.000146989,0.000281611,0
9,0.5,62.45882156,0.16448,0.000162689,0.00028197,0
9.5,0.5,59.05511811,0.164434924,0.000154628,0.000282372,0
10,0.5,59.26627542,0.16438193,0.00012132,0.000279914,3.502994012
10.5,0.5,60.18054162,0.164352082,9.74E-05,0.000280655,1.397205589
11,0.5,63.46828851,0.164220509,7.63E-05,0.000281557,0
11.5,0.5,67.95016988,0.164131576,7.33E-05,0.000281158,0
12,0.5,65.28634102,0.16416386,7.12E-05,0.000281381,0
12.5,0.5,62.69592476,0.164172388,7.35E-05,0.000280998,0
13,0.5,61.06499966,0.164140713,7.35E-05,0.000281816,0
13.5,0.5,59.34718101,0.163982947,7.10E-05,0.000281129,0
14,0.5,60.67936981,0.163860511,6.97E-05,0.000281807,0
14.5,0.5,61.79196704,0.163904978,6.77E-05,0.000280932,0
15,0.5,67.02697976,0.163837973,6.94E-05,0.000281548,0
15.5,0.5,68.41505131,0.163737466,6.83E-05,0.000281158,0
16,0.5,61.7944295,0.163741121,6.97E-05,0.000281427,0
16.5,0.5,60.06006006,0.163775842,7.09E-05,0.000282252,0
17,0.5,58.03956223,0.163697873,7.03E-05,0.000282311,0
17.5,0.5,57.14285714,0.163625386,7.59E-05,0.000282095,0
18,0.5,62.64385879,0.163656452,7.60E-05,0.000281237,0
18.5,0.5,63.89776358,0.163624168,7.82E-05,0.000280707,0
19,0.5,64.62342474,0.163582747,7.31E-05,0.000281538,0
19.5,0.5,64.65517241,0.163515742,6.91E-05,0.000281493,0
20,0.5,59.7756164,0.163431072,6.36E-05,0.000281812,0
20.5,0.5,59.46481665,0.163519397,7.26E-05,0.000281494,0
21,0.5,55.9881319,0.163480412,6.99E-05,0.000281692,0
21.5,0.5,54.84460695,0.163490158,6.69E-05,0.000281337,0
22,0.5,64.82628373,0.163471884,6.00E-05,0.000280019,0
22.5,0.5,66.04306296,0.163491377,6.48E-05,0.000281985,0
23,0.5,68.10442679,0.163359195,6.15E-05,0.000280857,0
23.5,0.5,66.70904538,0.163416453,7.77E-05,0.000282168,0
24,0.5,60.66734075,0.163403052,6.31E-05,0.000281069,1.676646707
24.5,0.5,60.41729725,0.16336955,6.27E-05,0.00028071,3.223552894
25,0.5,58.99705015,0.163408534,6.31E-05,0.000281844,0
25.5,0.5,60.64795196,0.163604066,0.000148343,0.000282045,0
26,0.5,64.58557589,0.163565691,0.000115436,0.000281316,0
26.5,0.5,64.74113688,0.163347621,8.83E-05,0.000281853,0
27,0.5,64.93506494,0.163281226,8.50E-05,0.000281916,99999
187.5,0.5,65.28835691,0.15674888,7.02E-05,0.000279649,2.175648703
188,0.5,62.62305717,0.156191523,6.47E-05,0.000281886,0
188.5,0.5,61.8556701,0.157301973,6.15E-05,0.000280639,0
189,0.5,61.29221427,0.157188065,6.82E-05,0.000280927,0
189.5,0.5,62.22507927,0.157282481,0.000210574,0.000281341,0
190,0.5,70.5052879,0.157407962,0.000179621,0.000284133,1.656686627
190.5,0.5,71.06332262,0.157490195,0.000171478,0.00028304,3.243512974
191,0.5,71.77033493,0.157653443,0.000141387,0.000280494,0
191.5,0.5,67.31665448,0.157753341,0.000131815,0.000281424,0
192,0.5,63.82978723,0.157711311,0.000108473,0.000281224,0
192.5,0.5,61.347279,0.157693646,9.27E-05,0.000280185,0
193,0.5,59.17159763,0.157748468,8.43E-05,0.000279854,0
193.5,0.5,58.43600516,0.157959837,9.21E-05,0.000280332,0
194,0.5,57.52636625,0.157875168,7.73E-05,0.000281621,0
194.5,0.5,62.36997217,0.157856285,7.14E-05,0.000280315,0
195,0.5,65.43075245,0.157851411,8.26E-05,0.000280732,0
195.5,0.5,62.92021999,0.157562682,7.39E-05,0.000281012,0
196,0.5,61.66495375,0.157359841,7.62E-05,0.000280657,0
196.5,0.5,59.33370038,0.157316592,7.02E-05,0.000279018,0
197,0.5,57.69230769,0.15724106,7.94E-05,0.000281449,0
197.5,0.5,58.62379327,0.158551915,8.50E-05,0.000281287,0
198,0.5,59.34718101,0.158531204,8.16E-05,0.000280949,0
198.5,0.5,64.59176995,0.158426433,0.000126046,0.000280084,0
199,0.5,66.29834254,0.158283287,0.000147597,0.000280116,0
199.5,0.5,64.70466659,0.15828816,0.000123948,0.000281608,0
200,0.5,64.51612903,0.158341155,0.000105117,0.000280905,0
200.5,0.5,60.9416553,0.158244302,0.000128823,0.000281781,0
201,0.5,60.60606061,0.158236993,9.57E-05,0.000282386,0
201.5,0.5,59.23776403,0.158233947,9.81E-05,0.00028133,0
202,0.5,59.198623,0.158320444,7.83E-05,0.000280058,0
